ID_FCCOMPRA;ID_COMPRA;MONTO;FECHA_FACTURA
FCPurch1;Purch1;11,6;23/09/2022
FCPurch2;Purch2;16400;05/11/2022
FCPurch3;Purch3;13;21/11/2022
FCPurch4;Purch4;213;21/11/2022
FCPurch5;Purch5;72;21/11/2022
FCPurch6;Purch6;1320;21/11/2022
FCPurch7;Purch7;18,48;21/11/2022
FCPurch8;Purch8;215,6;21/11/2022
FCPurch9;Purch9;523,6;21/11/2022
FCPurch10;Purch10;3690;21/11/2022
FCPurch11;Purch11;101,5;21/11/2022
FCPurch12;Purch12;1200;26/11/2022
FCPurch13;Purch13;120;16/12/2022
FCPurch14;Purch14;130000;19/12/2022
FCPurch15;Purch15;154170;23/12/2022
FCPurch16;Purch16;31,5;25/12/2022
FCPurch17;Purch17;6936,9;26/12/2022
FCPurch18;Purch18;48000;27/12/2022
FCPurch19;Purch19;34959;27/12/2022
FCPurch20;Purch20;450;08/01/2023
FCPurch21;Purch21;320000;30/01/2023
FCPurch22;Purch22;24950;30/01/2023
FCPurch23;Purch23;173460;30/01/2023
FCPurch24;Purch24;19110;31/01/2023
FCPurch25;Purch25;87,5;31/01/2023
FCPurch26;Purch26;198;31/01/2023
FCPurch27;Purch27;61,5;12/02/2023
FCPurch28;Purch28;2964;28/02/2023
FCPurch29;Purch29;6865,6;03/03/2023
FCPurch30;Purch30;6;04/03/2023
FCPurch31;Purch31;616;05/03/2023
FCPurch32;Purch32;8575;05/03/2023
FCPurch33;Purch33;1100;06/03/2023
FCPurch34;Purch34;10,9;10/03/2023
FCPurch35;Purch35;3006;13/03/2023
FCPurch36;Purch36;1225;08/04/2023
FCPurch37;Purch37;7500;11/04/2023
FCPurch38;Purch38;810;11/04/2023
FCPurch39;Purch39;26,4;15/04/2023
FCPurch40;Purch40;3214,8;17/04/2023
FCPurch41;Purch41;8260;28/04/2023
FCPurch42;Purch42;1100;29/04/2023
FCPurch43;Purch43;1848;05/05/2023
FCPurch44;Purch44;17000;12/05/2023
FCPurch45;Purch45;796500;13/05/2023
FCPurch46;Purch46;45000;15/05/2023
FCPurch47;Purch47;6450;27/05/2023
FCPurch48;Purch48;1278;29/05/2023
FCPurch49;Purch49;11685;29/05/2023
FCPurch50;Purch50;88920;03/06/2023
FCPurch51;Purch51;142200;03/06/2023
FCPurch52;Purch52;246000;03/06/2023
FCPurch53;Purch53;60720;12/06/2023
FCPurch54;Purch54;943;17/06/2023
FCPurch55;Purch55;29250;20/06/2023
FCPurch56;Purch56;75;04/07/2023
FCPurch57;Purch57;7965;14/07/2023
FCPurch58;Purch58;1237,5;15/07/2023
FCPurch59;Purch59;80;23/07/2023
FCPurch60;Purch60;3,05;23/07/2023
FCPurch61;Purch61;20;23/07/2023
FCPurch62;Purch62;1375000;23/07/2023
FCPurch63;Purch63;98000;23/07/2023
FCPurch64;Purch64;230;25/08/2023
FCPurch65;Purch65;490,5;25/08/2023
FCPurch66;Purch66;6150;17/10/2023
FCPurch67;Purch67;1862;30/10/2023
FCPurch68;Purch68;365,1;31/10/2023
FCPurch69;Purch69;10;21/11/2023
FCPurch70;Purch70;1540;28/11/2023
FCPurch71;Purch71;1694;28/11/2023
FCPurch72;Purch72;19840;01/12/2023
FCPurch73;Purch73;1980;05/12/2023
FCPurch74;Purch74;2700;16/12/2022
FCPurch75;Purch75;4050000;22/12/2022
FCPurch76;Purch76;164;05/01/2023
FCPurch77;Purch77;6000;18/02/2023
FCPurch78;Purch78;2376;23/02/2023
FCPurch79;Purch79;3815;06/03/2023
FCPurch80;Purch80;520;11/03/2023
FCPurch81;Purch81;1400;27/03/2023
FCPurch82;Purch82;246,4;03/04/2023
FCPurch83;Purch83;36,51;13/04/2023
FCPurch84;Purch84;757,5;15/04/2023
FCPurch85;Purch85;6060;06/05/2023
FCPurch86;Purch86;505;06/05/2023
FCPurch87;Purch87;633,6;27/05/2023
FCPurch88;Purch88;0,61;10/06/2023
FCPurch89;Purch89;1980;16/06/2023
FCPurch90;Purch90;10800;23/06/2023
FCPurch91;Purch91;5096;23/06/2023
FCPurch92;Purch92;210000;16/07/2023
FCPurch93;Purch93;448;16/07/2023
FCPurch94;Purch94;613;21/07/2023
FCPurch95;Purch95;660;23/07/2023
FCPurch96;Purch96;2,9;29/07/2023
FCPurch97;Purch97;0,9;03/08/2023
FCPurch98;Purch98;4140;17/08/2023
FCPurch99;Purch99;6300;17/08/2023
FCPurch100;Purch100;23100;24/08/2023
FCPurch101;Purch101;22200;24/08/2023
FCPurch102;Purch102;2640;25/08/2023
FCPurch103;Purch103;10;28/08/2023
FCPurch104;Purch104;85,65;06/10/2023
FCPurch105;Purch105;2775;06/10/2023
FCPurch106;Purch106;14874;08/10/2023
FCPurch107;Purch107;1215;15/10/2023
FCPurch108;Purch108;7,2;27/10/2023
FCPurch109;Purch109;237,6;02/12/2023
FCPurch110;Purch110;4;11/12/2023
FCPurch111;Purch111;603;14/12/2023
FCPurch112;Purch112;435;18/12/2023
FCPurch113;Purch113;49,5;22/12/2023
FCPurch114;Purch114;656,5;05/01/2024
FCPurch115;Purch115;24,92;11/01/2024
FCPurch116;Purch116;90,25;19/02/2024
FCPurch117;Purch117;81;08/03/2024
FCPurch118;Purch118;6200000;09/03/2024
FCPurch119;Purch119;11100;16/03/2024
FCPurch120;Purch120;2106;17/03/2024
FCPurch121;Purch121;5824,2;18/03/2024
FCPurch122;Purch122;6078;24/03/2024
FCPurch123;Purch123;127,8;28/03/2024
FCPurch124;Purch124;0;28/03/2024
FCPurch125;Purch125;330000;28/03/2024
FCPurch126;Purch126;9000;31/03/2024
FCPurch127;Purch127;17248;11/04/2024
FCPurch128;Purch128;10050;22/04/2024
FCPurch129;Purch129;606;04/05/2024
FCPurch130;Purch130;670,5;11/05/2024
FCPurch131;Purch131;128;13/05/2024
FCPurch132;Purch132;8448;06/06/2024
FCPurch133;Purch133;2200;09/06/2024
FCPurch134;Purch134;0,8;27/06/2024
