ID_PAGO;ID_FCCOMPRA;MONTO;FECHA_PAGO
PAY1;FCPurch1;11,6;13/10/2022
PAY2;FCPurch2;16400;25/11/2022
PAY3;FCPurch3;13;11/12/2022
PAY4;FCPurch4;213;11/12/2022
PAY5;FCPurch5;72;11/12/2022
PAY6;FCPurch6;1320;11/12/2022
PAY7;FCPurch7;18,48;11/12/2022
PAY8;FCPurch8;215,6;11/12/2022
PAY9;FCPurch9;523,6;11/12/2022
PAY10;FCPurch10;3690;11/12/2022
PAY11;FCPurch11;101,5;11/12/2022
PAY12;FCPurch12;1200;16/12/2022
PAY13;FCPurch13;120;05/01/2023
PAY14;FCPurch14;130000;08/01/2023
PAY15;FCPurch15;154170;12/01/2023
PAY16;FCPurch16;31,5;14/01/2023
PAY17;FCPurch17;6936,9;15/01/2023
PAY18;FCPurch18;48000;16/01/2023
PAY19;FCPurch19;34959;16/01/2023
PAY20;FCPurch20;450;28/01/2023
PAY21;FCPurch21;320000;19/02/2023
PAY22;FCPurch22;24950;19/02/2023
PAY23;FCPurch23;173460;19/02/2023
PAY24;FCPurch24;19110;20/02/2023
PAY25;FCPurch25;87,5;20/02/2023
PAY26;FCPurch26;198;20/02/2023
PAY27;FCPurch27;61,5;04/03/2023
PAY28;FCPurch28;2964;20/03/2023
PAY29;FCPurch29;6865,6;23/03/2023
PAY30;FCPurch30;6;24/03/2023
PAY31;FCPurch31;616;25/03/2023
PAY32;FCPurch32;8575;25/03/2023
PAY33;FCPurch33;1100;26/03/2023
PAY34;FCPurch34;10,9;30/03/2023
PAY35;FCPurch35;3006;02/04/2023
PAY36;FCPurch36;1225;28/04/2023
PAY38;FCPurch38;810;01/05/2023
PAY39;FCPurch39;26,4;05/05/2023
PAY40;FCPurch40;3214,8;07/05/2023
PAY41;FCPurch41;8260;18/05/2023
PAY42;FCPurch42;1100;19/05/2023
PAY43;FCPurch43;1848;25/05/2023
PAY44;FCPurch44;17000;01/06/2023
PAY45;FCPurch45;796500;02/06/2023
PAY46;FCPurch46;45000;04/06/2023
PAY47;FCPurch47;6450;16/06/2023
PAY48;FCPurch48;1278;18/06/2023
PAY49;FCPurch49;11685;18/06/2023
PAY50;FCPurch50;88920;23/06/2023
PAY51;FCPurch51;142200;23/06/2023
PAY52;FCPurch52;246000;23/06/2023
PAY53;FCPurch53;60720;02/07/2023
PAY54;FCPurch54;943;07/07/2023
PAY55;FCPurch55;29250;10/07/2023
PAY56;FCPurch56;75;24/07/2023
PAY57;FCPurch57;7965;03/08/2023
PAY58;FCPurch58;1237,5;04/08/2023
PAY60;FCPurch60;3,05;12/08/2023
PAY61;FCPurch61;20;12/08/2023
PAY62;FCPurch62;1375000;12/08/2023
PAY63;FCPurch63;98000;12/08/2023
PAY64;FCPurch64;230;14/09/2023
PAY65;FCPurch65;490,5;14/09/2023
PAY66;FCPurch66;6150;06/11/2023
PAY67;FCPurch67;1862;19/11/2023
PAY68;FCPurch68;365,1;20/11/2023
PAY69;FCPurch69;10;11/12/2023
PAY70;FCPurch70;1540;18/12/2023
PAY71;FCPurch71;1694;18/12/2023
PAY72;FCPurch72;19840;21/12/2023
PAY73;FCPurch73;1980;25/12/2023
PAY74;FCPurch74;2700;05/01/2023
PAY75;FCPurch75;4050000;11/01/2023
PAY76;FCPurch76;164;25/01/2023
PAY77;FCPurch77;6000;10/03/2023
PAY78;FCPurch78;2376;15/03/2023
PAY79;FCPurch79;3815;26/03/2023
PAY80;FCPurch80;520;31/03/2023
PAY81;FCPurch81;1400;16/04/2023
PAY82;FCPurch82;246,4;23/04/2023
PAY83;FCPurch83;36,51;03/05/2023
PAY84;FCPurch84;757,5;05/05/2023
PAY85;FCPurch85;6060;26/05/2023
PAY86;FCPurch86;505;26/05/2023
PAY87;FCPurch87;633,6;16/06/2023
PAY88;FCPurch88;0,61;30/06/2023
PAY89;FCPurch89;1980;06/07/2023
PAY90;FCPurch90;10800;13/07/2023
PAY91;FCPurch91;5096;13/07/2023
PAY92;FCPurch92;210000;05/08/2023
PAY93;FCPurch93;448;05/08/2023
PAY94;FCPurch94;613;10/08/2023
PAY95;FCPurch95;660;12/08/2023
PAY96;FCPurch96;2,9;18/08/2023
PAY97;FCPurch97;0,9;23/08/2023
PAY98;FCPurch98;4140;06/09/2023
PAY99;FCPurch99;6300;06/09/2023
PAY100;FCPurch100;23100;13/09/2023
PAY105;FCPurch105;2775;26/10/2023
PAY106;FCPurch106;14874;28/10/2023
PAY107;FCPurch107;1215;04/11/2023
PAY108;FCPurch108;7,2;16/11/2023
PAY109;FCPurch109;237,6;22/12/2023
PAY110;FCPurch110;4;31/12/2023
PAY111;FCPurch111;603;03/01/2024
PAY112;FCPurch112;435;07/01/2024
PAY113;FCPurch113;49,5;11/01/2024
PAY114;FCPurch114;656,5;25/01/2024
PAY115;FCPurch115;24,92;31/01/2024
PAY116;FCPurch116;90,25;10/03/2024
PAY117;FCPurch117;81;28/03/2024
PAY118;FCPurch118;6200000;29/03/2024
PAY119;FCPurch119;11100;05/04/2024
PAY120;FCPurch120;2106;06/04/2024
PAY121;FCPurch121;5824,2;07/04/2024
