ID_PRODUCTO;ITEM;FECHA_CREACION;PRECIO_VENTA;PRECIO_COMPRA
1ITEM;DIELECTRIC SINGLE JACKET RIBBON DUCT CABLE 360;Feb 20, 2024;3,12;2,64
2ITEM;DISTRIBUTION CABLE ROUND 5.0 FASTCONNECT ONE END CONNECTORIZED CLARO;Feb 20, 2024;15,3;12,3
3ITEM;MASTER BOX FOR EQUIPPING FTTH MATERIAL KIT COLORFUL LOGO SCREEN PRINTED ON ONE SIDE WOW;Feb 19, 2024;1;1
4ITEM;MPO PATCHCORD TYPE B MPO PC FEMALE MINI MPO PC FEMALE OM3 AQUA LSZH 12 F 1M;Feb 19, 2024;7,54;5,8
5ITEM;MPO TYPE B MPO FEMALE PC DLC 2.0MM OM3 12F 1MTS;Feb 19, 2024;10,66;8,2
6ITEM;CTO MULTI OPERATOR BOX 32 FO WITH SC-APC ADAPTERS;Apr 05, 2024;;1,3
7ITEM;ADSS SINGLE JACKET 60 MT 60F G652D;Jul 15, 2021;0,72;0,61
8ITEM;ADSS SINGLE JACKET 80 MT 144F G652D 100% DRY;Jul 15, 2021;1,84;1,56
9ITEM;ADSS SINGLE JACKET DRY CABLE 06F 120 MTS G652D;Jul 15, 2021;0,47;0,4
10ITEM;ADSS-CT-80M-06F G652D AUTOSOP DIELEC AIR MONOTUBE V=80 MT;Jul 15, 2021;0,34;0,29
11ITEM;DIELECTRIC SINGLE COVER DRY FIBERGLASS 120F G652D;Jul 15, 2021;1,29;1,09
12ITEM;SINGLE COVER WITH METAL ARMOR 144F G652D;Jul 15, 2021;1,68;1,42
13ITEM;DOUBLE COVER WITH METAL ARMOR 96F G652D;Jul 15, 2021;0;0,9
14ITEM;PATCHCORD G652D SIMPLEX LSZH 2MM 10 MTS SC/UPC- SC/UPC;Jul 15, 2021;1,82;1,35
15ITEM;PATCHCORD G652D SIMPLEX LSZH 2MM 2-5 MTS LC/APC- LC/APC;Jul 15, 2021;1,28;0,95
16ITEM;PATCHCORD G652D DUPLEX LSZH 2MM 2 MTS SC/APC- SC/APC;Jul 15, 2021;2,62;1,94
17ITEM;DOUBLE LC-APC COUPLER;Jul 15, 2021;0,38;0,28
18ITEM;INACTIVO;Jul 15, 2021;12,98;11
19ITEM;OUTDOOR LARGE TERMINAL BOX 2 PORTS + 2 SC-APC COUPLERS;Jul 15, 2021;4,67;3,96
20ITEM;INTERMEDIATE CDO BOX-CIRCULAR TERMINAL (UFO) SPLITTER 1X8 - 1 ENT. RED + 8 OUT BLACK + 1 OVAL DOUBLE;Jul 15, 2021;0;0
21ITEM;SC-APC COUPLER;Oct 15, 2021;0,2;0,15
22ITEM;CIERRE DE EMPALME DOMO OVAL - 7 SALIDAS 96 FUSIONES - CIERRE TERMOCONTRAIBLE;Oct 26, 2021;73,16;62
