ID_FCCOMPRA;ID_COMPRA;MONTO;FECHA_FACTURA
1;1;11.6;23-9-22
2;2;16400;5-11-22
3;3;13;21-11-22
4;4;213;21-11-22
5;5;72;21-11-22
6;6;1320;21-11-22
7;7;18.48;21-11-22
8;8;215.6;21-11-22
9;9;523.6;21-11-22
10;10;3690;21-11-22
11;11;101.5;21-11-22
12;12;1200;26-11-22
13;13;120;16-12-22
14;14;130000;19-12-22
15;15;154170;23-12-22
16;16;31.5;25-12-22
17;17;6936.9;26-12-22
18;18;48000;27-12-22
19;19;34959;27-12-22
20;20;450;8-1-23
21;21;320000;30-1-23
22;22;24950;30-1-23
23;23;173460;30-1-23
24;24;19110;31-1-23
25;25;87.5;31-1-23
26;26;198;31-1-23
27;27;61.5;12-2-23
28;28;2964;28-2-23
29;29;6865.6;3-3-23
30;30;6;4-3-23
31;31;616;5-3-23
32;32;8575;5-3-23
33;33;1100;6-3-23
34;34;10.9;10-3-23
35;35;3006;13-3-23
36;36;1225;8-4-23
37;37;7500;11-4-23
38;38;810;11-4-23
39;39;26.4;15-4-23
40;40;3214.8;17-4-23
41;41;8260;28-4-23
42;42;1100;29-4-23
43;43;1848;5-5-23
44;44;17000;12-5-23
45;45;796500;13-5-23
46;46;45000;15-5-23
47;47;6450;27-5-23
48;48;1278;29-5-23
49;49;11685;29-5-23
50;50;88920;3-6-23
51;51;142200;3-6-23
52;52;246000;3-6-23
53;53;60720;12-6-23
54;54;943;17-6-23
55;55;29250;20-6-23
56;56;75;4-7-23
57;57;7965;14-7-23
58;58;1237.5;15-7-23
59;59;80;23-7-23
60;60;3.05;23-7-23
61;61;20;23-7-23
62;62;1375000;23-7-23
63;63;98000;23-7-23
64;64;230;25-8-23
65;65;490.5;25-8-23
66;66;6150;17-10-23
67;67;1862;30-10-23
68;68;365.1;31-10-23
69;69;10;21-11-23
70;70;1540;28-11-23
71;71;1694;28-11-23
72;72;19840;1-12-23
73;73;1980;5-12-23
74;74;2700;16-12-22
75;75;4050000;22-12-22
76;76;164;5-1-23
77;77;6000;18-2-23
78;78;2376;23-2-23
79;79;3815;6-3-23
80;80;520;11-3-23
81;81;1400;27-3-23
82;82;246.4;3-4-23
83;83;36.51;13-4-23
84;84;757.5;15-4-23
85;85;6060;6-5-23
86;86;505;6-5-23
87;87;633.6;27-5-23
88;88;0.61;10-6-23
89;89;1980;16-6-23
90;90;10800;23-6-23
91;91;5096;23-6-23
92;92;210000;16-7-23
93;93;448;16-7-23
94;94;613;21-7-23
95;95;660;23-7-23
96;96;2.9;29-7-23
97;97;0.9;3-8-23
98;98;4140;17-8-23
99;99;6300;17-8-23
100;100;23100;24-8-23
101;101;22200;24-8-23
102;102;2640;25-8-23
103;103;10;28-8-23
104;104;85.65;6-10-23
105;105;2775;6-10-23
106;106;14874;8-10-23
107;107;1215;15-10-23
108;108;7.2;27-10-23
109;109;237.6;2-12-23
110;110;4;11-12-23
111;111;603;14-12-23
112;112;435;18-12-23
113;113;49.5;22-12-23
114;114;656.5;5-1-24
115;115;24.92;11-1-24
116;116;90.25;19-2-24
117;117;81;8-3-24
118;118;6200000;9-3-24
119;119;11100;16-3-24
120;120;2106;17-3-24
121;121;5824.2;18-3-24
122;122;6078;24-3-24
123;123;127.8;28-3-24
124;124;0;28-3-24
125;125;330000;28-3-24
126;126;9000;31-3-24
127;127;17248;11-4-24
128;128;10050;22-4-24
129;129;606;4-5-24
130;130;670.5;11-5-24
131;131;128;13-5-24
132;132;8448;6-6-24
133;133;2200;9-6-24
134;134;0.8;27-6-24
