ID_COMPRA;MONTO;FECHA_FACTURA
2;16400;05/11/22
20;450;08/01/23
27;61.5;12/02/23
29;6865.6;03/03/23
30;6;04/03/23
31;616;05/03/23
32;8575;05/03/23
33;1100;06/03/23
34;10.9;10/03/23
36;1225;08/04/23
37;7500;11/04/23
38;810;11/04/23
43;1848;05/05/23
44;17000;12/05/23
50;88920;03/06/23
51;142200;03/06/23
52;246000;03/06/23
53;60720;12/06/23
56;75;04/07/23
72;19840;01/12/23
73;1980;05/12/23
76;164;05/01/23
79;3815;06/03/23
80;520;11/03/23
82;246.4;03/04/23
85;6060;06/05/23
86;505;06/05/23
88;0.61;10/06/23
97;0.9;03/08/23
104;85.65;06/10/23
105;2775;06/10/23
106;14874;08/10/23
109;237.6;02/12/23
110;4;11/12/23
114;656.5;05/01/24
115;24.92;11/01/24
117;81;08/03/24
118;6200000;09/03/24
127;17248;11/04/24
129;606;04/05/24
130;670.5;11/05/24
132;8448;06/06/24
133;2200;09/06/24
