ID_FCCOMPRA;MONTO;FECHA_PAGO
3;13;11/12/22
4;213;11/12/22
5;72;11/12/22
6;1320;11/12/22
7;18.48;11/12/22
8;215.6;11/12/22
9;523.6;11/12/22
10;3690;11/12/22
11;101.5;11/12/22
13;120;05/01/23
14;130000;08/01/23
15;154170;12/01/23
27;61.5;04/03/23
35;3006;02/04/23
38;810;01/05/23
39;26.4;05/05/23
40;3214.8;07/05/23
44;17000;01/06/23
45;796500;02/06/23
46;45000;04/06/23
53;60720;02/07/23
54;943;07/07/23
55;29250;10/07/23
57;7965;03/08/23
58;1237.5;04/08/23
60;3.05;12/08/23
61;20;12/08/23
62;1375000;12/08/23
63;98000;12/08/23
66;6150;06/11/23
69;10;11/12/23
74;2700;05/01/23
75;4050000;11/01/23
77;6000;10/03/23
83;36.51;03/05/23
84;757.5;05/05/23
89;1980;06/07/23
92;210000;05/08/23
93;448;05/08/23
94;613;10/08/23
95;660;12/08/23
98;4140;06/09/23
99;6300;06/09/23
107;1215;04/11/23
111;603;03/01/24
112;435;07/01/24
113;49.5;11/01/24
116;90.25;10/03/24
119;11100;05/04/24
120;2106;06/04/24
121;5824.2;07/04/24
127;17248;01/05/24
128;10050;12/05/24
131;128;02/06/24
