ITEM;PRECIO_VENTA;PRECIO_COMPRA
DIELECTRIC SINGLE JACKET RIBBON DUCT CABLE 360;3.12;2.64
DISTRIBUTION CABLE ROUND 5.0 FASTCONNECT ONE END CONNECTORIZED CLARO;15.3;12.3
MASTER BOX FOR EQUIPPING FTTH MATERIAL KIT COLORFUL LOGO SCREEN PRINTED ON ONE SIDE WOW;1;1
MPO PATCHCORD TYPE B MPO PC FEMALE MINI MPO PC FEMALE OM3 AQUA LSZH 12 F 1M;7.54;5.8
MPO TYPE B MPO FEMALE PC DLC 2.0MM OM3 12F 1MTS;10.66;8.2
CTO MULTI OPERATOR BOX 32 FO WITH SC-APC ADAPTERS;;1.3
ADSS SINGLE JACKET 60 MT 60F G652D;0.72;0.61
ADSS SINGLE JACKET 80 MT 144F G652D 100% DRY;1.84;1.56
ADSS SINGLE JACKET DRY CABLE 06F 120 MTS G652D;0.47;0.4
ADSS-CT-80M-06F G652D AUTOSOP DIELEC AIR MONOTUBE V=80 MT;0.34;0.29
DIELECTRIC SINGLE COVER DRY FIBERGLASS 120F G652D;1.29;1.09
SINGLE COVER WITH METAL ARMOR 144F G652D;1.68;1.42
DOUBLE COVER WITH METAL ARMOR 96F G652D;0;0.9
PATCHCORD G652D SIMPLEX LSZH 2MM 10 MTS SC/UPC- SC/UPC;1.82;1.35
PATCHCORD G652D SIMPLEX LSZH 2MM 2-5 MTS LC/APC- LC/APC;1.28;0.95
PATCHCORD G652D DUPLEX LSZH 2MM 2 MTS SC/APC- SC/APC;2.62;1.94
DOUBLE LC-APC COUPLER;0.38;0.28
INACTIVO;12.98;11
OUTDOOR LARGE TERMINAL BOX 2 PORTS + 2 SC-APC COUPLERS;4.67;3.96
INTERMEDIATE CDO BOX-CIRCULAR TERMINAL (UFO) SPLITTER 1X8 - 1 ENT. RED + 8 OUT BLACK + 1 OVAL DOUBLE;0;0
SC-APC COUPLER;0.2;0.15
CIERRE DE EMPALME DOMO OVAL - 7 SALIDAS 96 FUSIONES - CIERRE TERMOCONTRAIBLE;73.16;62
ODF 1U RACK -24 POSICIONES -DISTRIBUIDOR ?PTICO DE 1U HASTA 24F PIVOTANTE COLOR NEGRO CON BANDEJAS P;0;1.3
PIGTAIL 900UM SC-APC G652D LSZH 1.5M SH;0.7;0.52
RACK CERRADO 19" SERIE 1300- 16 U. PROF 600 MM NEGRO;217;160.74
RACK CERRADO 19" SERIE 900- 28 U. PROF 800 MM NEGRO;292.07;216.35
RACK CERRADO 19" SERIE 600- 40 U. PROF 1000 MM NEGRO;358.43;265.5
RACK BASTIDOR COLUMNA 19" 16 U.;54.7;40.52
INDOOR DISTRIBUTION -TERMINAL BOX 2+ 8 PORTS - INDOOR - EQQUIPED WITH 1 SPLITTERS 1X8 - 1 RED + 1 BL;12.98;11
FIBER PROTECTION PEDESTAL (12 PORTS | INDOOR /OUTDOOR + WALL MOUNTED DISTRIBUTION BOX);35.4;30
CAJA DE DISTRIBUCI?N FIBRA ?PTICA (SIN ACOPLADORES);5.23;4.43
WIRELESS XPON ONT;22.28;16.5
A?REO AUTOSP DIELEC CUBIERTA SIMPLE 100 % SECO VANO = 100 MT 24F G652D;0.43;0.36
PATCHCORD G657A1 DUPLEX LSZH 3MM 3MTS LC/UPC- LC/UPC;2.94;2.18
FIBER MICROSCOPE 200X;112;80
A?REO AUTOSP DIELEC CUBIERTA DOBLE 100 % SECO VANO = 80 MT 96F G652D;1.76;1.49
PRECONNECT FC-FC DROP CABLE - 100M;23.72;20.1
CAJA DISTRIB NAP EXP FUS . NO SP . BANDEJAS FUSI?N/PORTA SPLITTER. 1 ENTRADA OVAL + 2 PUERTOS STD + ;47.97;40.65
PREFORMADO PARA CABLE ?PTICO ACERO;1.97;1.67
DROP FLAT CABLE PRECONNECT HC-HC - 10M;10.44;8.85
